Molecule,E(S1) (eV),E(T1) (eV), Total Energy (a.u.)
3N-Si-phenalene,0.4403,-0.5727,-795.702079025
6Me-Si-phenalene,1.165,-0.7217,-982.680855938
3B-B-phenalene_out,0.3772,-1.2456,-442.944486027
X-2N-Z_optimized_out,0.9747,0.5732,-1065.40410481
10Me-2Si-Z,0.59,-0.6371,-1809.3800452
12Si-2B-Z_optimized_out,2.0543,1.8297,-3392.29939083
10N-2Si-U,1.1192,0.7177,-1578.17411423
Con-N-phenalene_optimized_out,4.3956,2.7692,-400.574113487
6Si-zethrene_optimized_out,1.5959,-0.2959,-2419.27431769
6F-2B-U_optimized_out,1.2899,1.0457,-1483.14837215
Con-2B-Z_optimized_out,2.1271,1.2328,-777.341595204
NH2-6-2B-U_optimized_out,0.9446,0.5216,-1221.32364607
6N-Si-phenalene,1.0756,0.7971,-844.065500426
NO2-6-Si-phenalene,0.8293,-0.6519,-1967.66864314
10S-2Si-Z,0.7516,-0.6898,-4999.8632765
2con-2B-Z_optimized_out,2.8141,1.5528,-663.812860739
N02-6-2B-Z_optimized_out,0.9262,-0.8675,-2110.65274891
phenalene_optimized_out,4.3168,2.8182,-498.338489752
X2B-Z_optimized_out,0.8824,0.4966,-1005.9851326
X-2Si-U,1.5783,-0.0747,-1533.61984437
uthrene_optimized_out,2.6053,1.2658,-918.67684173
tetracene_optimized_out,3.0293,1.6125,-688.993252974
NO2-10-zethrene_optimized_out,2.1013,-1.1911,-2951.09073493
6Si-uthrene_optimized_out,1.4242,-0.5958,-2419.27230843
10F-2Si-Z,0.8374,-0.7358,-2405.34540556
NO2-3-B-phenalene_optimized_out,1.2543,-0.3954,-1094.40988342
10S-2N-Z_out,2.1031,1.798,-4534.10395115
10B-2N-U_optimized_out,0.797,-0.9214,-812.544227961
10Si-2N-U_optimized_out,1.5849,-0.6262,-3451.62070068
3N-phenalene_optimized_out,3.8885,2.9802,-546.134254272
NH2-6-Si-phenalene,1.1312,-0.3727,-1078.31282003
6F-2Si-Z,1.1169,-0.6109,-2010.7844797
6Me-2Si-U,0.2843,-0.4957,-1653.11115538
6B-2B-U_optimized_out,0.8634,0.4797,-808.218947133
6S-2Si-Z,0.2229,0.1357,-3568.68269982
6Si-phenalene_optimized_out,2.8994,2.4562,-1998.97817933
con-2Si-Z,0.1459,-0.3446,-1303.77675128
NO2-6-2B-U_optimized_out,1.4706,-1.1542,-2110.68191659
6N-2Si-U,1.5203,0.6275,-1514.32281498
2X-uthrene_optimized_out,2.2681,0.9457,-1148.35577798
2XB-Z_optimized_out,0.8311,0.4646,-1120.82779055
6N-2N-U_optimized_out,1.6567,1.4206,-1046.16281021
6Me-2N-U_optimized_out,1.8587,1.5809,-1185.03484106
2N-U_optimized_out,1.7727,1.4518,-950.547270744
6Si-2B-U_optimized_out,0.945,0.5331,-2391.71766373
3S-N-phenalene_optimized_out,3.7479,2.6659,-1589.23720912
naphthalene_optimized_out,4.8542,3.3862,-383.47508792
6S-2N-Z_optimized_out,2.6079,2.0055,-3100.55917019
6Me-phenalene_optimized_out,4.1698,2.7559,-732.826239965
3Si-B-phenalene_optimized_out,0.7166,-0.4173,-1234.92504306
10N-zethrene_optimized_out,3.0455,1.8466,-1078.13963275
NH2-6-uthrene_optimized_out,2.1792,0.8856,-1248.85373311
10B-zethrene_optimized_out,1.2565,1.0901,-780.635714327
10B-uthrene_optimized_out,1.4633,1.1211,-780.652555079
3N-N-phenalene_optimized_out,1.093,0.7932,-562.116486468
10N-2N-U_optimized_out,2.8084,2.5779,-1109.92965858
X-N-phenalene_optimized_out,1.2727,1.0774,-629.161991076
NO2-6-N-phenalene_optimized_out,2.0109,-1.0226,-1733.8116472
6Me-B-phenalene_optimized_out,1.2634,1.1373,-719.09823205
3Me-Si-phenalene,2.0251,1.3034,-865.642443027
10Si-zethrene_optimized_out,1.9317,1.1049,-3419.80464275
6B-uthrene_optimized_out,1.6017,0.78,-835.671599961
2B-U_optimized_out,1.4,1.2468,-891.125613778
6Me-2B-U_optimized_out,1.284,1.0926,-1125.61611086
NH2-3-Si-phenalene,1.9129,0.9287,-913.434820832
10Si-2B-U_optimized_out,2.5126,1.7002,-3392.36450626
10B-2B-U_optimized_out,1.5838,1.3889,-753.14482663
6N-B-phenalene_optimized_out,0.4783,-1.3087,-580.224758568
3Me-B-phenalene_optimized_out,1.2262,0.8011,-601.85865173
NO2-6-2N-U_optimized_out,1.0703,-1.2915,-2169.99307148
NH2-10-zethrene_optimized_out,2.2051,1.2047,-1468.95917362
10B-2Si-U,0.5717,-0.657,-1280.47372818
10Si-2Si-Z,0.2776,-0.5134,-3919.67909156
2Con-2N-Z_optimized_out,3.0271,1.8996,-723.18954403
NO2-3-Si-phenalene,0.679,-0.5617,-1358.04107361
6B-N-phenalene_optimized_out,1.635,-1.1527,-431.510032449
6B-2Si-U,-0.4326,-0.6965,-1335.69158778
2Si-U,1.6047,-0.1175,-1418.79063872
2con-2Si-Z,0.281,-0.5003,-1188.97358509
Con-2N-Z_optimized_out,1.1881,0.9652,-836.902173357
NH2-6-2N-U_optimized_out,2.064,1.6807,-1280.71421261
NH2-3-B-phenalene_optimized_out,0.8957,-0.3374,-649.723880934
2X-2Si-U,0.8142,-0.8382,-1648.1859124
2Con-B-phenalene_optimized_out,2.9942,2.6931,-216.926310771
6F-B-phenalene_optimized_out,1.8939,1.735,-1076.62085241
NH2-6-2Si-Z,1.1467,-0.7638,-1748.8408627
NO2-6-2Si-Z,0.6537,-0.5711,-2637.66585257
3X-phenalene_optimized_out,3.221,1.0863,-841.612798586
2X-2N-Z_optimized_out,0.8634,0.4684,-1180.24254548
6Si-2Si-U,0.2975,-0.9605,-2919.19978278
Si-phenalene,0.1753,-0.7816,-748.161167038
3F-N-phenalene_optimized_out,1.7173,1.6011,-810.308284934
6F-zethrene_optimized_out,2.5329,1.1647,-1510.71318838
B-phenalene_optimized_out,0.9432,0.8056,-484.608738111
6F-2N-U_optimized_out,1.8501,1.5623,-1542.54421388
6N-phenalene_optimized_out,4.0564,3.4949,-593.978089704
silabenzene,3.28,1.0387,-480.880308986
6Me-uthrene_optimized_out,2.5063,1.1768,-1153.17030968
X-2N-U_optimized_out,1.5932,1.2271,-1065.36834156
2X-phenalene_optimized_out,3.865,1.6792,-726.803181923
10F-2N-Z_optimized_out,0.9273,0.3669,-1937.17127366
NO2-6-B-phenalene_optimized_out,1.185,-1.3517,-1704.10666653
6B-2Si-Z,0.135,-0.3701,-1335.63060554
6Me-N-phenalene_optimized_out,1.5248,1.3581,-748.776999099
2con-2Si-U,0.0449,-0.7925,-1188.60662927
2Si-Z,0.1537,-0.7748,-1418.54165725
2X-2Si-Z,0.2914,-0.6958,-1648.34036355
NH2-10-2N-Z_optimized_out,1.0895,0.3623,-1500.81397505
NH2-6-2Si-U,0.6817,-0.9004,-1748.47174329
10Me-zethrene_optimized_out,2.2134,0.9633,-1309.45113037
6S-2N-U_out,3.7405,2.9143,-3100.5947718
NO2-6-2Si-U,0.3546,-0.8898,-2637.4526577
6F-2B-Z_optimized_out,0.8755,0.3385,-1483.17603929
NH2-6-phenalene_optimized_out,3.8721,2.7065,-828.508704622
3S-Si-phenalene,1.4571,1.1205,-1823.36801591
3N-B-phenalene_optimized_out,1.6339,1.5527,-532.382509916
con-Si-phenalene,0.758,-0.8059,-633.385676938
3Me-N-phenalene_optimized_out,1.5184,1.3486,-631.565842485
2Con-2B-U_optimized_out,3.2542,1.8416,-663.809121591
6N-N-phenalene_optimized_out,2.7096,2.5427,-609.915446406
6Si-2Si-Z,0.3299,-0.9748,-2919.22755515
Con-2B-U_optimized_out,1.1366,0.9178,-777.380967352
NO2-6-zethrene_optimized_out,2.2605,-1.0543,-2138.23369259
NH2-6-2B-Z_optimized_out,1.3317,0.8126,-1221.21713764
3X-Si-phenalene,1.1636,-0.9852,-1091.66802329
NH2-3-phenalene_optimized_out,3.9461,2.6636,-663.427997398
6S-Si-phenalene,0.767,-0.5184,-2897.2940149
NO2-10-2Si-Z,0.5251,-0.7248,-3450.87435924
6F-N-phenalene_optimized_out,1.1656,0.5599,-1106.29386054
10Me-2B-Z_optimized_out,1.0564,0.5671,-1281.94959783
3Me-phenalene_optimized_out,4.3087,2.8523,-615.591743549
zethrene_optimized_out,2.6207,1.2974,-918.68844058
2X-N-phenalene_optimized_out,1.8381,1.4386,-743.974144415
10B-2N-Z_optimized_out,1.1725,-1.214,-812.443979298
XB-phenalene_out,2.2685,1.326,-599.245334499
NH2-10-2Si-Z,0.6064,-0.5452,-1968.88404315
6B-B-phenalene_optimized_out,2.2408,2.1469,-401.778681677
6Si-2-NU_optimized_out,1.5381,0.7121,-2451.10788119
3F-phenalene_optimized_out,4.3281,2.8153,-794.34362987
6B-2B-Z_optimized_out,1.0056,0.4906,-808.220050868
6N-2N-Z_optimized_out,1.2292,0.7948,-1046.19331716
Pyridine_optimized_out,4.7588,3.992,-246.651510677
N-phenalene_optimized_out,1.3223,1.1611,-514.316813254
3Si-phenalene_optimized_out,3.3281,1.9471,-1248.62883131
NH2-6-zethrene_optimized_out,2.157,0.8815,-1248.85142613
NO2-10-2N-Z_optimized_out,1.5576,-1.0831,-2982.97623596
10Si-uthrene_optimized_out,2.6792,2.0392,-3419.77221337
3B-N-phenalene_optimized_out,1.6854,1.1477,-472.805618622
6B-phenalene_optimized_out,1.484,1.3806,-415.540442401
NH2-8-2B-Z_optimized_out,1.8729,1.323,-1441.49160522
con-uthrene_optimized_out,2.8872,1.5384,-803.840202751
10N-2B-Z_optimized_out,0.3701,-1.0204,-1050.45074237
2X-Si-phenalene,1.895,1.0824,-976.902239056
3Si-Si-phenalene,0.7311,-0.8408,-1498.62217553
10B-2Si-Z,0.229,-0.3773,-1280.60738436
3F-B-phenalene_optimized_out,1.1008,0.5847,-780.616297806
6Me-2N-Z_optimized_out,1.0707,0.6379,-1185.05382812
2N-Z_optimized_out,1.0173,0.592,-950.571794268
10Si-2Si-U,0.1487,-0.7358,-3919.59024387
6N-uthrene_optimized_out,2.6695,1.4273,-1014.28878958
NO2-6-uthrene_optimized_out,2.1975,-1.0372,-2138.22566544
Con-B-phenalene_optimized_out,3.3708,1.9387,-370.9217906
NO2-10-2B-Z_optimized_out,0.9968,-1.3575,-2923.55646258
10S-2N-U_optimized_out,2.6153,1.9136,-4534.04334643
6N-2B-Z_optimized_out,0.9993,0.3691,-986.730996852
3F-Si-phenalene,2.2078,1.3433,-1044.4062802
6F-2Si-U,0.9475,-0.7698,-2010.5644596
10N-uthrene_optimized_out,3.258,2.3344,-1078.12771053
benzene_optimized_out,5.8444,4.6191,-230.694579521
2B-Z_optimized_out,0.887,0.3692,-891.148507019
6Me-2B-Z_optimized_out,2.081,1.5576,-1125.51096001
6Si-2N-Z_optimized_out,1.6628,1.4137,-2451.08467232
6Me-2Si-Z,0.7538,-0.6544,-1653.11911372
6F-uthrene_optimized_out,2.532,1.1418,-1510.69566417
NO2-6-phenalene_optimized_out,3.1931,-1.0947,-1717.90554955
6S-2Si-U,0.3211,-0.3655,-3568.70689847
10N-2N-Z_optimized_out,1.0795,-0.403,-3451.65742076
con-2Si-U,0.5597,-0.9052,-1303.57698853
6Me-zethrene_optimized_out,2.4968,1.1713,-1153.17150809
6N-2Si-Z,0.7336,-0.5949,-1514.28670625
10F-zethrene_optimized_out,2.535,1.1517,-1905.33738743
6F-Si-phenalene,2.1459,1.3039,-1340.38842795
10Me-2N-Z_optimized_out,1.0568,0.6243,-1341.33117868
10B-2B-Z_out,0.1346,-0.523,-752.721060841
pyrene_optimized_out,3.91,1.7096,-613.121087428
NO2-3-phenalene_optimized_out,3.1963,-0.8623,-1108.22457679
6B-2N-Z_optimized_out,0.4246,-1.1919,-867.590854077
X-uthrene_optimized_out,2.4769,1.2103,-1033.52245186
Con-2N-U_optimized_out,1.4349,1.2932,-836.897836167
NH2-6-2N-Z_optimized_out,0.9339,-1.2191,-2170.09312432
6Si-N-phenalene_optimized_out,2.5116,1.8321,-2014.90641512
6Si-2B-Z_out,0.0423,-0.8002,-2391.61612977
2Con-2N-U_optimized_out,3.0065,1.7053,-723.206926879
X-Si-phenalene,1.8734,1.3103,-863.247318489
6N-zethrene_optimized_out,2.6383,1.4522,-1014.30826511
10N-2Si-Z,0.1369,-0.5418,-1578.13087119
2X-2N-U_optimized_out,1.4761,1.1685,-1180.21326504
6B-zethrene_optimized_out,0.7188,0.4152,-835.694527703
3B-phenalene_optimized_out,1.9252,1.769,-456.862627288
6S-N-phenalene_optimized_out,2.5285,0.6636,-2664.40746696
3X-N-phenalene_optimized_out,1.8347,1.3608,-858.820870003
6F-phenalene_optimized_out,4.3285,2.7995,-1090.33390548
6Si-Si-phenalene,0.1587,-0.4895,-2248.89050485
10S-2Si-U,1.1357,-0.6286,-4999.8492629
3Si-N-phenalene_optimized_out,2.5284,2.1967,-1264.57804484
X-2Si-Z,0.7925,-0.8041,-1533.36245424
6F-2N-Z_optimized_out,0.9272,0.4109,-1542.58337856
3B-Si-phenalene,0.2271,-1.1611,-703.096289617
